Sensor,Value,Units,Status,LCR,LNC,LNC2,UCR,UNC,UNC2
CPU1 Temp,43.166,degrees C,ok,0,0,0,89,94,94
CPU2 Temp,87.869,degrees C,ok,0,0,0,89,94,94
PCH Temp,40.998,degrees C,ok,-11,-8,-5,90,95,100
System Temp,84.708,degrees C,Upper Non-Critical,-9,-7,-5,80,85,90
Peripheral Temp,38.055,degrees C,ok,-9,-7,-5,80,85,90
Vcpu1VRM Temp,32.782,degrees C,ok,-9,-7,-5,95,100,105
Vcpu2VRM Temp,32.678,degrees C,ok,-9,-7,-5,95,100,105
VmemABVRM Temp,-4.031,degrees C,ok,-9,-7,-5,95,100,105
VmemCDVRM Temp,30.906,degrees C,ok,-9,-7,-5,95,100,105
VmemEFVRM Temp,-6.046,degrees C,Lower Non-Critical,-9,-7,-5,95,100,105
VmemGHVRM Temp,28.216,degrees C,ok,-9,-7,-5,95,100,105
P1-DIMMA1 Temp,30.590,degrees C,ok,1,2,4,80,85,90
P1-DIMMB1 Temp,-1.223,degrees C,Lower Non-Recoverable,1,2,4,80,85,90
P1-DIMMC1 Temp,3.724,degrees C,Lower Non-Critical,1,2,4,80,85,90
P1-DIMMD1 Temp,77.967,degrees C,ok,1,2,4,80,85,90
P2-DIMME1 Temp,32.052,degrees C,ok,1,2,4,80,85,90
P2-DIMMF1 Temp,28.268,degrees C,ok,1,2,4,80,85,90
P2-DIMMG1 Temp,27.147,degrees C,ok,1,2,4,80,85,90
P2-DIMMH1 Temp,-0.557,degrees C,Lower Non-Recoverable,1,2,4,80,85,90
FAN1,938.610,RPM,ok,300,500,700,25300,25400,25500
FAN2,25326.561,RPM,Upper Non-Critical,300,500,700,25300,25400,25500
FAN3,5502.060,RPM,ok,300,500,700,25300,25400,25500
FAN4,5830.681,RPM,ok,300,500,700,25300,25400,25500
FAN5,940.620,RPM,ok,300,500,700,25300,25400,25500
FAN6,5806.562,RPM,ok,300,500,700,25300,25400,25500
FAN7,5651.650,RPM,ok,300,500,700,25300,25400,25500
FAN8,903.486,RPM,ok,300,500,700,25300,25400,25500
12V,12.618,Volts,ok,10.173,10.299,10.74,12.945,13.26,13.386
5VCC,5.117,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VCC,3.477,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
VBAT,2.627,Volts,ok,2.326,2.43,2.508,3.678,3.782,3.886
Vcpu1,1.449,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
Vcpu2,1.400,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
VDIMMAB,1.182,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMCD,0.966,Volts,Lower Critical,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMEF,1.191,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMGH,1.021,Volts,Lower Non-Critical,0.948,0.975,1.047,1.344,1.425,1.443
5VSB,4.406,Volts,Lower Non-Critical,4.246,4.298,4.48,5.39,5.546,5.598
3.3VSB,3.109,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
1.5V PCH,1.677,Volts,Upper Critical,1.32,1.347,1.401,1.644,1.671,1.698
1.2V BMC,1.242,Volts,ok,1.02,1.047,1.092,1.344,1.371,1.398
1.05V PCH,1.044,Volts,ok,0.87,0.897,0.942,1.194,1.221,1.248
AOC_SAS Temp,50.891,degrees C,ok,-11,-8,-5,100,105,110
HDD Temp,-3.817,degrees C,ok,-11,-8,-5,95,100,105
