Sensor,Value,Units,Status,LCR,LNC,LNC2,UCR,UNC,UNC2
CPU1 Temp,43.457,degrees C,ok,0,0,0,89,94,94
CPU2 Temp,88.110,degrees C,ok,0,0,0,89,94,94
PCH Temp,-5.194,degrees C,Lower Non-Critical,-11,-8,-5,90,95,100
System Temp,23.587,degrees C,ok,-9,-7,-5,80,85,90
Peripheral Temp,93.410,degrees C,Upper Non-Recoverable,-9,-7,-5,80,85,90
Vcpu1VRM Temp,35.110,degrees C,ok,-9,-7,-5,95,100,105
Vcpu2VRM Temp,33.005,degrees C,ok,-9,-7,-5,95,100,105
VmemABVRM Temp,-4.200,degrees C,ok,-9,-7,-5,95,100,105
VmemCDVRM Temp,30.463,degrees C,ok,-9,-7,-5,95,100,105
VmemEFVRM Temp,28.578,degrees C,ok,-9,-7,-5,95,100,105
VmemGHVRM Temp,28.925,degrees C,ok,-9,-7,-5,95,100,105
P1-DIMMA1 Temp,30.283,degrees C,ok,1,2,4,80,85,90
P1-DIMMB1 Temp,28.849,degrees C,ok,1,2,4,80,85,90
P1-DIMMC1 Temp,30.591,degrees C,ok,1,2,4,80,85,90
P1-DIMMD1 Temp,82.571,degrees C,Upper Non-Critical,1,2,4,80,85,90
P2-DIMME1 Temp,32.103,degrees C,ok,1,2,4,80,85,90
P2-DIMMF1 Temp,30.293,degrees C,ok,1,2,4,80,85,90
P2-DIMMG1 Temp,26.854,degrees C,ok,1,2,4,80,85,90
P2-DIMMH1 Temp,25.989,degrees C,ok,1,2,4,80,85,90
FAN1,905.248,RPM,ok,300,500,700,25300,25400,25500
FAN2,970.653,RPM,ok,300,500,700,25300,25400,25500
FAN3,5793.267,RPM,ok,300,500,700,25300,25400,25500
FAN4,5386.036,RPM,ok,300,500,700,25300,25400,25500
FAN5,943.662,RPM,ok,300,500,700,25300,25400,25500
FAN6,5631.970,RPM,ok,300,500,700,25300,25400,25500
FAN7,5491.233,RPM,ok,300,500,700,25300,25400,25500
FAN8,981.232,RPM,ok,300,500,700,25300,25400,25500
12V,11.925,Volts,ok,10.173,10.299,10.74,12.945,13.26,13.386
5VCC,4.808,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VCC,3.334,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
VBAT,2.578,Volts,ok,2.326,2.43,2.508,3.678,3.782,3.886
Vcpu1,1.400,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
Vcpu2,1.400,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
VDIMMAB,1.242,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMCD,1.203,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMEF,1.195,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMGH,1.343,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
5VSB,4.736,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VSB,2.965,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
1.5V PCH,1.481,Volts,ok,1.32,1.347,1.401,1.644,1.671,1.698
1.2V BMC,1.219,Volts,ok,1.02,1.047,1.092,1.344,1.371,1.398
1.05V PCH,1.021,Volts,ok,0.87,0.897,0.942,1.194,1.221,1.248
AOC_SAS Temp,49.851,degrees C,ok,-11,-8,-5,100,105,110
HDD Temp,-4.172,degrees C,ok,-11,-8,-5,95,100,105
