Sensor,Value,Units,Status,LCR,LNC,LNC2,UCR,UNC,UNC2
CPU1 Temp,42.443,degrees C,ok,0,0,0,89,94,94
CPU2 Temp,86.310,degrees C,ok,0,0,0,89,94,94
PCH Temp,38.377,degrees C,ok,-11,-8,-5,90,95,100
System Temp,22.800,degrees C,ok,-9,-7,-5,80,85,90
Peripheral Temp,41.000,degrees C,ok,-9,-7,-5,80,85,90
Vcpu1VRM Temp,34.764,degrees C,ok,-9,-7,-5,95,100,105
Vcpu2VRM Temp,34.230,degrees C,ok,-9,-7,-5,95,100,105
VmemABVRM Temp,-3.954,degrees C,ok,-9,-7,-5,95,100,105
VmemCDVRM Temp,30.391,degrees C,ok,-9,-7,-5,95,100,105
VmemEFVRM Temp,30.164,degrees C,ok,-9,-7,-5,95,100,105
VmemGHVRM Temp,26.349,degrees C,ok,-9,-7,-5,95,100,105
P1-DIMMA1 Temp,91.597,degrees C,Upper Non-Recoverable,1,2,4,80,85,90
P1-DIMMB1 Temp,27.727,degrees C,ok,1,2,4,80,85,90
P1-DIMMC1 Temp,31.441,degrees C,ok,1,2,4,80,85,90
P1-DIMMD1 Temp,1.133,degrees C,Lower Critical,1,2,4,80,85,90
P2-DIMME1 Temp,30.825,degrees C,ok,1,2,4,80,85,90
P2-DIMMF1 Temp,28.830,degrees C,ok,1,2,4,80,85,90
P2-DIMMG1 Temp,27.213,degrees C,ok,1,2,4,80,85,90
P2-DIMMH1 Temp,25.956,degrees C,ok,1,2,4,80,85,90
FAN1,983.952,RPM,ok,300,500,700,25300,25400,25500
FAN2,974.004,RPM,ok,300,500,700,25300,25400,25500
FAN3,5456.849,RPM,ok,300,500,700,25300,25400,25500
FAN4,5361.648,RPM,ok,300,500,700,25300,25400,25500
FAN5,947.462,RPM,ok,300,500,700,25300,25400,25500
FAN6,5678.561,RPM,ok,300,500,700,25300,25400,25500
FAN7,5530.671,RPM,ok,300,500,700,25300,25400,25500
FAN8,976.123,RPM,ok,300,500,700,25300,25400,25500
12V,13.121,Volts,Upper Non-Critical,10.173,10.299,10.74,12.945,13.26,13.386
5VCC,5.036,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VCC,3.230,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
VBAT,2.520,Volts,ok,2.326,2.43,2.508,3.678,3.782,3.886
Vcpu1,1.400,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
Vcpu2,1.400,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
VDIMMAB,1.436,Volts,Upper Critical,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMCD,1.226,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMEF,1.152,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMGH,1.330,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
5VSB,4.987,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VSB,2.965,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
1.5V PCH,1.535,Volts,ok,1.32,1.347,1.401,1.644,1.671,1.698
1.2V BMC,1.207,Volts,ok,1.02,1.047,1.092,1.344,1.371,1.398
1.05V PCH,1.022,Volts,ok,0.87,0.897,0.942,1.194,1.221,1.248
AOC_SAS Temp,52.086,degrees C,ok,-11,-8,-5,100,105,110
HDD Temp,-4.198,degrees C,ok,-11,-8,-5,95,100,105
