Sensor,Value,Units,Status,LCR,LNC,LNC2,UCR,UNC,UNC2
CPU1 Temp,43.802,degrees C,ok,0,0,0,89,94,94
CPU2 Temp,-1.899,degrees C,Lower Non-Recoverable,0,0,0,89,94,94
PCH Temp,41.181,degrees C,ok,-11,-8,-5,90,95,100
System Temp,23.093,degrees C,ok,-9,-7,-5,80,85,90
Peripheral Temp,40.830,degrees C,ok,-9,-7,-5,80,85,90
Vcpu1VRM Temp,34.991,degrees C,ok,-9,-7,-5,95,100,105
Vcpu2VRM Temp,32.822,degrees C,ok,-9,-7,-5,95,100,105
VmemABVRM Temp,-4.096,degrees C,ok,-9,-7,-5,95,100,105
VmemCDVRM Temp,30.225,degrees C,ok,-9,-7,-5,95,100,105
VmemEFVRM Temp,30.434,degrees C,ok,-9,-7,-5,95,100,105
VmemGHVRM Temp,28.472,degrees C,ok,-9,-7,-5,95,100,105
P1-DIMMA1 Temp,29.240,degrees C,ok,1,2,4,80,85,90
P1-DIMMB1 Temp,28.277,degrees C,ok,1,2,4,80,85,90
P1-DIMMC1 Temp,30.488,degrees C,ok,1,2,4,80,85,90
P1-DIMMD1 Temp,94.789,degrees C,Upper Non-Recoverable,1,2,4,80,85,90
P2-DIMME1 Temp,30.271,degrees C,ok,1,2,4,80,85,90
P2-DIMMF1 Temp,28.335,degrees C,ok,1,2,4,80,85,90
P2-DIMMG1 Temp,84.904,degrees C,Upper Non-Critical,1,2,4,80,85,90
P2-DIMMH1 Temp,26.130,degrees C,ok,1,2,4,80,85,90
FAN1,911.790,RPM,ok,300,500,700,25300,25400,25500
FAN2,920.577,RPM,ok,300,500,700,25300,25400,25500
FAN3,5752.701,RPM,ok,300,500,700,25300,25400,25500
FAN4,5709.379,RPM,ok,300,500,700,25300,25400,25500
FAN5,904.776,RPM,ok,300,500,700,25300,25400,25500
FAN6,5552.278,RPM,ok,300,500,700,25300,25400,25500
FAN7,5647.312,RPM,ok,300,500,700,25300,25400,25500
FAN8,938.032,RPM,ok,300,500,700,25300,25400,25500
12V,10.248,Volts,Lower Critical,10.173,10.299,10.74,12.945,13.26,13.386
5VCC,4.911,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VCC,3.456,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
VBAT,2.541,Volts,ok,2.326,2.43,2.508,3.678,3.782,3.886
Vcpu1,2.100,Volts,Upper Critical,1.242,1.26,1.395,1.899,2.088,2.106
Vcpu2,1.450,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
VDIMMAB,1.215,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMCD,1.171,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMEF,1.143,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMGH,1.321,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
5VSB,5.047,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VSB,3.070,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
1.5V PCH,1.574,Volts,ok,1.32,1.347,1.401,1.644,1.671,1.698
1.2V BMC,1.198,Volts,ok,1.02,1.047,1.092,1.344,1.371,1.398
1.05V PCH,1.075,Volts,ok,0.87,0.897,0.942,1.194,1.221,1.248
AOC_SAS Temp,51.523,degrees C,ok,-11,-8,-5,100,105,110
HDD Temp,-13.559,degrees C,Lower Non-Recoverable,-11,-8,-5,95,100,105
