Sensor,Value,Units,Status,LCR,LNC,LNC2,UCR,UNC,UNC2
CPU1 Temp,94.992,degrees C,Upper Non-Recoverable,0,0,0,89,94,94
CPU2 Temp,88.110,degrees C,ok,0,0,0,89,94,94
PCH Temp,41.600,degrees C,ok,-11,-8,-5,90,95,100
System Temp,21.855,degrees C,ok,-9,-7,-5,80,85,90
Peripheral Temp,39.746,degrees C,ok,-9,-7,-5,80,85,90
Vcpu1VRM Temp,34.374,degrees C,ok,-9,-7,-5,95,100,105
Vcpu2VRM Temp,31.589,degrees C,ok,-9,-7,-5,95,100,105
VmemABVRM Temp,-8.580,degrees C,Lower Critical,-9,-7,-5,95,100,105
VmemCDVRM Temp,31.027,degrees C,ok,-9,-7,-5,95,100,105
VmemEFVRM Temp,28.917,degrees C,ok,-9,-7,-5,95,100,105
VmemGHVRM Temp,27.316,degrees C,ok,-9,-7,-5,95,100,105
P1-DIMMA1 Temp,27.919,degrees C,ok,1,2,4,80,85,90
P1-DIMMB1 Temp,27.209,degrees C,ok,1,2,4,80,85,90
P1-DIMMC1 Temp,30.520,degrees C,ok,1,2,4,80,85,90
P1-DIMMD1 Temp,78.750,degrees C,ok,1,2,4,80,85,90
P2-DIMME1 Temp,31.067,degrees C,ok,1,2,4,80,85,90
P2-DIMMF1 Temp,28.425,degrees C,ok,1,2,4,80,85,90
P2-DIMMG1 Temp,29.370,degrees C,ok,1,2,4,80,85,90
P2-DIMMH1 Temp,26.825,degrees C,ok,1,2,4,80,85,90
FAN1,948.738,RPM,ok,300,500,700,25300,25400,25500
FAN2,961.880,RPM,ok,300,500,700,25300,25400,25500
FAN3,5674.063,RPM,ok,300,500,700,25300,25400,25500
FAN4,5835.430,RPM,ok,300,500,700,25300,25400,25500
FAN5,908.499,RPM,ok,300,500,700,25300,25400,25500
FAN6,5815.965,RPM,ok,300,500,700,25300,25400,25500
FAN7,5490.901,RPM,ok,300,500,700,25300,25400,25500
FAN8,982.867,RPM,ok,300,500,700,25300,25400,25500
12V,10.189,Volts,Lower Critical,10.173,10.299,10.74,12.945,13.26,13.386
5VCC,4.462,Volts,Lower Non-Critical,4.246,4.298,4.48,5.39,5.546,5.598
3.3VCC,3.249,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
VBAT,2.520,Volts,ok,2.326,2.43,2.508,3.678,3.782,3.886
Vcpu1,1.400,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
Vcpu2,1.426,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
VDIMMAB,1.225,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMCD,1.186,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMEF,0.964,Volts,Lower Critical,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMGH,1.341,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
5VSB,4.702,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VSB,3.005,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
1.5V PCH,1.555,Volts,ok,1.32,1.347,1.401,1.644,1.671,1.698
1.2V BMC,1.153,Volts,ok,1.02,1.047,1.092,1.344,1.371,1.398
1.05V PCH,1.032,Volts,ok,0.87,0.897,0.942,1.194,1.221,1.248
AOC_SAS Temp,49.393,degrees C,ok,-11,-8,-5,100,105,110
HDD Temp,-3.808,degrees C,ok,-11,-8,-5,95,100,105
