Sensor,Value,Units,Status,LCR,LNC,LNC2,UCR,UNC,UNC2
CPU1 Temp,43.025,degrees C,ok,0,0,0,89,94,94
CPU2 Temp,87.965,degrees C,ok,0,0,0,89,94,94
PCH Temp,39.606,degrees C,ok,-11,-8,-5,90,95,100
System Temp,23.514,degrees C,ok,-9,-7,-5,80,85,90
Peripheral Temp,38.361,degrees C,ok,-9,-7,-5,80,85,90
Vcpu1VRM Temp,35.360,degrees C,ok,-9,-7,-5,95,100,105
Vcpu2VRM Temp,33.993,degrees C,ok,-9,-7,-5,95,100,105
VmemABVRM Temp,107.312,degrees C,Upper Non-Recoverable,-9,-7,-5,95,100,105
VmemCDVRM Temp,32.192,degrees C,ok,-9,-7,-5,95,100,105
VmemEFVRM Temp,29.251,degrees C,ok,-9,-7,-5,95,100,105
VmemGHVRM Temp,27.637,degrees C,ok,-9,-7,-5,95,100,105
P1-DIMMA1 Temp,2.584,degrees C,Lower Non-Critical,1,2,4,80,85,90
P1-DIMMB1 Temp,84.163,degrees C,Upper Non-Critical,1,2,4,80,85,90
P1-DIMMC1 Temp,29.721,degrees C,ok,1,2,4,80,85,90
P1-DIMMD1 Temp,-1.824,degrees C,Lower Non-Recoverable,1,2,4,80,85,90
P2-DIMME1 Temp,29.950,degrees C,ok,1,2,4,80,85,90
P2-DIMMF1 Temp,28.163,degrees C,ok,1,2,4,80,85,90
P2-DIMMG1 Temp,28.849,degrees C,ok,1,2,4,80,85,90
P2-DIMMH1 Temp,25.610,degrees C,ok,1,2,4,80,85,90
FAN1,981.978,RPM,ok,300,500,700,25300,25400,25500
FAN2,25336.088,RPM,Upper Non-Critical,300,500,700,25300,25400,25500
FAN3,5516.993,RPM,ok,300,500,700,25300,25400,25500
FAN4,5319.893,RPM,ok,300,500,700,25300,25400,25500
FAN5,988.387,RPM,ok,300,500,700,25300,25400,25500
FAN6,5371.835,RPM,ok,300,500,700,25300,25400,25500
FAN7,5747.106,RPM,ok,300,500,700,25300,25400,25500
FAN8,944.919,RPM,ok,300,500,700,25300,25400,25500
12V,12.328,Volts,ok,10.173,10.299,10.74,12.945,13.26,13.386
5VCC,5.045,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VCC,3.370,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
VBAT,2.517,Volts,ok,2.326,2.43,2.508,3.678,3.782,3.886
Vcpu1,1.441,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
Vcpu2,1.400,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
VDIMMAB,1.151,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMCD,0.949,Volts,Lower Critical,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMEF,1.180,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMGH,1.341,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
5VSB,4.909,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VSB,2.974,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
1.5V PCH,1.495,Volts,ok,1.32,1.347,1.401,1.644,1.671,1.698
1.2V BMC,1.238,Volts,ok,1.02,1.047,1.092,1.344,1.371,1.398
1.05V PCH,1.031,Volts,ok,0.87,0.897,0.942,1.194,1.221,1.248
AOC_SAS Temp,103.540,degrees C,Upper Non-Critical,-11,-8,-5,100,105,110
HDD Temp,-4.092,degrees C,ok,-11,-8,-5,95,100,105
