Sensor,Value,Units,Status,LCR,LNC,LNC2,UCR,UNC,UNC2
CPU1 Temp,41.834,degrees C,ok,0,0,0,89,94,94
CPU2 Temp,86.589,degrees C,ok,0,0,0,89,94,94
PCH Temp,103.076,degrees C,Upper Non-Recoverable,-11,-8,-5,90,95,100
System Temp,22.610,degrees C,ok,-9,-7,-5,80,85,90
Peripheral Temp,40.761,degrees C,ok,-9,-7,-5,80,85,90
Vcpu1VRM Temp,33.401,degrees C,ok,-9,-7,-5,95,100,105
Vcpu2VRM Temp,34.390,degrees C,ok,-9,-7,-5,95,100,105
VmemABVRM Temp,97.168,degrees C,Upper Non-Critical,-9,-7,-5,95,100,105
VmemCDVRM Temp,32.047,degrees C,ok,-9,-7,-5,95,100,105
VmemEFVRM Temp,29.931,degrees C,ok,-9,-7,-5,95,100,105
VmemGHVRM Temp,28.425,degrees C,ok,-9,-7,-5,95,100,105
P1-DIMMA1 Temp,27.871,degrees C,ok,1,2,4,80,85,90
P1-DIMMB1 Temp,29.185,degrees C,ok,1,2,4,80,85,90
P1-DIMMC1 Temp,30.331,degrees C,ok,1,2,4,80,85,90
P1-DIMMD1 Temp,75.822,degrees C,ok,1,2,4,80,85,90
P2-DIMME1 Temp,32.348,degrees C,ok,1,2,4,80,85,90
P2-DIMMF1 Temp,27.664,degrees C,ok,1,2,4,80,85,90
P2-DIMMG1 Temp,26.701,degrees C,ok,1,2,4,80,85,90
P2-DIMMH1 Temp,25.368,degrees C,ok,1,2,4,80,85,90
FAN1,978.091,RPM,ok,300,500,700,25300,25400,25500
FAN2,957.478,RPM,ok,300,500,700,25300,25400,25500
FAN3,5495.704,RPM,ok,300,500,700,25300,25400,25500
FAN4,604.349,RPM,Lower Non-Critical,300,500,700,25300,25400,25500
FAN5,909.521,RPM,ok,300,500,700,25300,25400,25500
FAN6,5854.986,RPM,ok,300,500,700,25300,25400,25500
FAN7,5603.687,RPM,ok,300,500,700,25300,25400,25500
FAN8,922.941,RPM,ok,300,500,700,25300,25400,25500
12V,11.860,Volts,ok,10.173,10.299,10.74,12.945,13.26,13.386
5VCC,5.003,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VCC,3.475,Volts,ok,2.789,2.823,2.959,3.554,3.656,3.69
VBAT,2.575,Volts,ok,2.326,2.43,2.508,3.678,3.782,3.886
Vcpu1,1.439,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
Vcpu2,1.400,Volts,ok,1.242,1.26,1.395,1.899,2.088,2.106
VDIMMAB,1.161,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMCD,2.234,Volts,Upper Non-Recoverable,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMEF,1.255,Volts,ok,0.948,0.975,1.047,1.344,1.425,1.443
VDIMMGH,3.251,Volts,Upper Non-Recoverable,0.948,0.975,1.047,1.344,1.425,1.443
5VSB,5.123,Volts,ok,4.246,4.298,4.48,5.39,5.546,5.598
3.3VSB,3.641,Volts,Upper Non-Critical,2.789,2.823,2.959,3.554,3.656,3.69
1.5V PCH,1.572,Volts,ok,1.32,1.347,1.401,1.644,1.671,1.698
1.2V BMC,1.172,Volts,ok,1.02,1.047,1.092,1.344,1.371,1.398
1.05V PCH,1.059,Volts,ok,0.87,0.897,0.942,1.194,1.221,1.248
AOC_SAS Temp,52.981,degrees C,ok,-11,-8,-5,100,105,110
HDD Temp,504.477,degrees C,Upper Non-Recoverable,-11,-8,-5,95,100,105
