counter,value
rx_packets,7340333
tx_packets,1891564
rx_bytes,543122637
tx_bytes,97645890
rx_broadcast,5663332
tx_broadcast,7559
rx_multicast,41027
tx_multicast,3057
multicast,40067
collisions,0
rx_crc_errors,0
rx_no_buffer_count,0
rx_missed_errors,0
tx_aborted_errors,0
tx_carrier_errors,0
tx_window_errors,0
tx_abort_late_coll,0
tx_deferred_ok,0
tx_single_coll_ok,0
tx_multi_coll_ok,0
tx_timeout_count,0
rx_long_length_errors,0
rx_short_length_errors,0
rx_align_errors,0
tx_tcp_seg_good,0
tx_tcp_seg_failed,0
rx_flow_control_xon,0
rx_flow_control_xoff,0
tx_flow_control_xon,0
tx_flow_control_xoff,0
rx_long_byte_count,543122637
tx_dma_out_of_sync,0
tx_smbus,0
rx_smbus,0
dropped_smbus,0
os2bmc_rx_by_bmc,0
os2bmc_tx_by_bmc,0
os2bmc_tx_by_host,0
os2bmc_rx_by_host,0
tx_hwtstamp_timeouts,0
tx_hwtstamp_skipped,0
rx_hwtstamp_cleared,0
rx_errors,0
tx_errors,0
tx_dropped,0
rx_length_errors,0
rx_over_errors,0
rx_frame_errors,0
rx_fifo_errors,0
tx_fifo_errors,0
tx_heartbeat_errors,0
tx_queue_0_packets,180092
tx_queue_0_bytes,10246603
tx_queue_0_restart,0
tx_queue_1_packets,180215
tx_queue_1_bytes,9813146
tx_queue_1_restart,0
tx_queue_2_packets,170461
tx_queue_2_bytes,11518663
tx_queue_2_restart,0
tx_queue_3_packets,182316
tx_queue_3_bytes,9272700
tx_queue_3_restart,0
tx_queue_4_packets,633703
tx_queue_4_bytes,26949484
tx_queue_4_restart,0
tx_queue_5_packets,190605
tx_queue_5_bytes,9403257
tx_queue_5_restart,0
tx_queue_6_packets,183738
tx_queue_6_bytes,10772013
tx_queue_6_restart,0
tx_queue_7_packets,170434
tx_queue_7_bytes,9670024
tx_queue_7_restart,0
rx_queue_0_packets,5773797
rx_queue_0_bytes,429038518
rx_queue_0_drops,0
rx_queue_0_csum_err,0
rx_queue_0_alloc_failed,0
rx_queue_1_packets,214088
rx_queue_1_bytes,14881110
rx_queue_1_drops,0
rx_queue_1_csum_err,0
rx_queue_1_alloc_failed,0
rx_queue_2_packets,201000
rx_queue_2_bytes,14067043
rx_queue_2_drops,0
rx_queue_2_csum_err,0
rx_queue_2_alloc_failed,0
rx_queue_3_packets,233306
rx_queue_3_bytes,17399401
rx_queue_3_drops,0
rx_queue_3_csum_err,0
rx_queue_3_alloc_failed,0
rx_queue_4_packets,207726
rx_queue_4_bytes,15147747
rx_queue_4_drops,0
rx_queue_4_csum_err,0
rx_queue_4_alloc_failed,0
rx_queue_5_packets,225841
rx_queue_5_bytes,17326726
rx_queue_5_drops,0
rx_queue_5_csum_err,0
rx_queue_5_alloc_failed,0
rx_queue_6_packets,225355
rx_queue_6_bytes,16391982
rx_queue_6_drops,0
rx_queue_6_csum_err,0
rx_queue_6_alloc_failed,0
rx_queue_7_packets,259220
rx_queue_7_bytes,18870110
rx_queue_7_drops,0
rx_queue_7_csum_err,0
rx_queue_7_alloc_failed,0
