counter,value
rx_packets,7821344
tx_packets,1878901
rx_bytes,598234567
tx_bytes,119876543
rx_broadcast,5689012
tx_broadcast,8234
rx_multicast,42345
tx_multicast,3345
multicast,42345
collisions,0
rx_crc_errors,1847
rx_no_buffer_count,392
rx_missed_errors,28471
tx_aborted_errors,12
tx_carrier_errors,43
tx_window_errors,0
tx_abort_late_coll,0
tx_deferred_ok,0
tx_single_coll_ok,0
tx_multi_coll_ok,0
tx_timeout_count,0
rx_long_length_errors,11
rx_short_length_errors,3
rx_align_errors,0
tx_tcp_seg_good,123456
tx_tcp_seg_failed,89
rx_flow_control_xon,124
rx_flow_control_xoff,67
tx_flow_control_xon,98
tx_flow_control_xoff,45
rx_long_byte_count,598234567
tx_dma_out_of_sync,0
tx_smbus,0
rx_smbus,0
dropped_smbus,0
os2bmc_rx_by_bmc,0
os2bmc_tx_by_bmc,0
os2bmc_tx_by_host,0
os2bmc_rx_by_host,0
tx_hwtstamp_timeouts,3
tx_hwtstamp_skipped,156
rx_hwtstamp_cleared,78
rx_errors,20331
tx_errors,55
tx_dropped,27
rx_length_errors,14
rx_over_errors,8472
rx_frame_errors,3129
rx_fifo_errors,15673
tx_fifo_errors,0
tx_heartbeat_errors,0
tx_queue_0_packets,178901
tx_queue_0_bytes,9987654
tx_queue_0_restart,0
tx_queue_1_packets,181234
tx_queue_1_bytes,10123456
tx_queue_1_restart,0
tx_queue_2_packets,175432
tx_queue_2_bytes,11890123
tx_queue_2_restart,0
tx_queue_3_packets,180123
tx_queue_3_bytes,9678901
tx_queue_3_restart,0
tx_queue_4_packets,612345
tx_queue_4_bytes,27890123
tx_queue_4_restart,0
tx_queue_5_packets,176789
tx_queue_5_bytes,9890123
tx_queue_5_restart,0
tx_queue_6_packets,182345
tx_queue_6_bytes,10456789
tx_queue_6_restart,0
tx_queue_7_packets,174567
tx_queue_7_bytes,9567890
tx_queue_7_restart,0
rx_queue_0_packets,6012345
rx_queue_0_bytes,412345678
rx_queue_0_drops,8421
rx_queue_0_csum_err,234
rx_queue_0_alloc_failed,567
rx_queue_1_packets,189012
rx_queue_1_bytes,15678901
rx_queue_1_drops,312
rx_queue_1_csum_err,12
rx_queue_1_alloc_failed,45
rx_queue_2_packets,223456
rx_queue_2_bytes,26789012
rx_queue_2_drops,678
rx_queue_2_csum_err,34
rx_queue_2_alloc_failed,89
rx_queue_3_packets,179012
rx_queue_3_bytes,14901234
rx_queue_3_drops,234
rx_queue_3_csum_err,15
rx_queue_3_alloc_failed,67
rx_queue_4_packets,192345
rx_queue_4_bytes,16543210
rx_queue_4_drops,456
rx_queue_4_csum_err,23
rx_queue_4_alloc_failed,78
rx_queue_5_packets,271234
rx_queue_5_bytes,50123456
rx_queue_5_drops,1234
rx_queue_5_csum_err,67
rx_queue_5_alloc_failed,156
rx_queue_6_packets,176789
rx_queue_6_bytes,13123456
rx_queue_6_drops,189
rx_queue_6_csum_err,9
rx_queue_6_alloc_failed,34
rx_queue_7_packets,171234
rx_queue_7_bytes,14789012
rx_queue_7_drops,312
rx_queue_7_csum_err,18
rx_queue_7_alloc_failed,56
