counter,value
rx_packets,7595250
tx_packets,1886208
rx_bytes,587310503
tx_bytes,125681964
rx_broadcast,5672162
tx_broadcast,8317
rx_multicast,41815
tx_multicast,3334
multicast,41815
collisions,0
rx_crc_errors,0
rx_no_buffer_count,0
rx_missed_errors,0
tx_aborted_errors,0
tx_carrier_errors,0
tx_window_errors,0
tx_abort_late_coll,0
tx_deferred_ok,0
tx_single_coll_ok,0
tx_multi_coll_ok,0
tx_timeout_count,0
rx_long_length_errors,0
rx_short_length_errors,0
rx_align_errors,0
tx_tcp_seg_good,0
tx_tcp_seg_failed,0
rx_flow_control_xon,0
rx_flow_control_xoff,0
tx_flow_control_xon,0
tx_flow_control_xoff,0
rx_long_byte_count,587310503
tx_dma_out_of_sync,0
tx_smbus,0
rx_smbus,0
dropped_smbus,0
os2bmc_rx_by_bmc,0
os2bmc_tx_by_bmc,0
os2bmc_tx_by_host,0
os2bmc_rx_by_host,0
tx_hwtstamp_timeouts,0
tx_hwtstamp_skipped,0
rx_hwtstamp_cleared,0
rx_errors,0
tx_errors,0
tx_dropped,0
rx_length_errors,0
rx_over_errors,0
rx_frame_errors,0
rx_fifo_errors,0
tx_fifo_errors,0
tx_heartbeat_errors,0
tx_queue_0_packets,176480
tx_queue_0_bytes,9923148
tx_queue_0_restart,0
tx_queue_1_packets,179401
tx_queue_1_bytes,10300264
tx_queue_1_restart,0
tx_queue_2_packets,186579
tx_queue_2_bytes,12142127
tx_queue_2_restart,0
tx_queue_3_packets,176989
tx_queue_3_bytes,9958938
tx_queue_3_restart,0
tx_queue_4_packets,635927
tx_queue_4_bytes,29441419
tx_queue_4_restart,0
tx_queue_5_packets,175399
tx_queue_5_bytes,10015937
tx_queue_5_restart,0
tx_queue_6_packets,178022
tx_queue_6_bytes,10220945
tx_queue_6_restart,0
tx_queue_7_packets,177411
tx_queue_7_bytes,9977680
tx_queue_7_restart,0
rx_queue_0_packets,6188786
rx_queue_0_bytes,402264235
rx_queue_0_drops,0
rx_queue_0_csum_err,0
rx_queue_0_alloc_failed,0
rx_queue_1_packets,179594
rx_queue_1_bytes,14973874
rx_queue_1_drops,0
rx_queue_1_csum_err,0
rx_queue_1_alloc_failed,0
rx_queue_2_packets,221454
rx_queue_2_bytes,27325286
rx_queue_2_drops,0
rx_queue_2_csum_err,0
rx_queue_2_alloc_failed,0
rx_queue_3_packets,182235
rx_queue_3_bytes,16095196
rx_queue_3_drops,0
rx_queue_3_csum_err,0
rx_queue_3_alloc_failed,0
rx_queue_4_packets,188157
rx_queue_4_bytes,16251381
rx_queue_4_drops,0
rx_queue_4_csum_err,0
rx_queue_4_alloc_failed,0
rx_queue_5_packets,284117
rx_queue_5_bytes,51491662
rx_queue_5_drops,0
rx_queue_5_csum_err,0
rx_queue_5_alloc_failed,0
rx_queue_6_packets,174746
rx_queue_6_bytes,13452917
rx_queue_6_drops,0
rx_queue_6_csum_err,0
rx_queue_6_alloc_failed,0
rx_queue_7_packets,176161
rx_queue_7_bytes,15074952
rx_queue_7_drops,0
rx_queue_7_csum_err,0
rx_queue_7_alloc_failed,0
